City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
319,Riyadh,SA,24.6877,46.7219,95.14,8,2,11.16,clear sky
320,Tilichiki,RU,60.4667,166.1,34.16,88,15,4.23,few clouds
321,Saint Augustine,US,29.8947,-81.3145,87.06,78,75,18.41,broken clouds
322,Acari,PE,-15.4311,-74.6158,77.99,51,84,8.19,broken clouds
323,Kattivakkam,IN,13.2167,80.3167,91.08,64,90,14.14,overcast clouds
324,Sur,OM,22.5667,59.5289,92.82,45,2,8.48,clear sky
325,Vila,PT,42.0304,-8.1588,59.7,85,96,3.91,overcast clouds
326,Balabac,PH,7.9868,117.0645,80.98,78,99,6.04,overcast clouds
327,Flinders,AU,-34.5833,150.8552,55.18,91,99,3.0,light rain
328,Hamilton,US,39.1834,-84.5333,67.21,75,100,12.66,overcast clouds
329,Erdenet,MN,49.0333,104.0833,56.07,39,33,7.09,scattered clouds
330,Bandarbeyla,SO,9.4942,50.8122,80.94,84,60,17.22,broken clouds
331,Tura,IN,25.5198,90.2201,72.57,94,83,3.65,broken clouds
332,Afua,BR,-0.1567,-50.3867,82.15,79,16,3.91,few clouds
333,Rawson,AR,-43.3002,-65.1023,50.56,82,100,23.29,light rain
334,Terrace Bay,CA,48.7834,-87.1,40.71,71,79,11.39,broken clouds
335,Marzuq,YE,14.4,46.4667,80.58,13,100,2.19,overcast clouds
336,Inuvik,CA,68.3499,-133.7218,27.36,68,75,4.61,broken clouds
337,Beloha,MG,-25.1667,45.05,66.24,75,30,6.2,scattered clouds
338,Tyubuk,RU,56.0552,60.9405,35.73,89,48,8.05,scattered clouds
339,Saint-Augustin,CA,51.226,-58.6502,53.94,82,92,11.36,overcast clouds
340,Zenzeli,RU,45.9241,47.0474,65.16,55,18,2.42,few clouds
341,Korla,CN,41.7597,86.1469,80.33,13,100,16.46,overcast clouds
342,Pangnirtung,CA,66.1451,-65.7125,32.0,89,96,6.06,light snow
343,Acapulco,MX,16.8634,-99.8901,85.82,62,75,8.05,broken clouds
344,Bac Lieu,VN,9.285,105.7244,80.28,83,100,7.29,overcast clouds
345,Sao Filipe,CV,14.8961,-24.4956,72.75,77,42,14.65,scattered clouds
